,ISO,dt_00,dt_01,dt_02,dt_03,dt_04,dt_05,dt_06,dt_07,dt_08,dt_09,dt_10,dt_11,dt_12,evaldt_00,evaldt_01,evaldt_02,evaldt_03,evaldt_04,evaldt_05,evaldt_06,evaldt_07,evaldt_08,evaldt_09,evaldt_10,evaldt_11,evaldt_12
52,KAZ,6,7,7,7,7,7,7,7,6,6,6,6,6,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00,27-Oct-00,25-Jan-01,30-Apr-01,12-Jul-01,27-Oct-01
53,KEN,6,6,6,6,6,6,6,6,6,6,6,6,6,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00,27-Oct-00,25-Jan-01,30-Apr-01,12-Jul-01,27-Oct-01
54,KWT,3,3,3,3,3,3,3,3,3,3,3,2,2,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00,27-Oct-00,25-Jan-01,30-Apr-01,12-Jul-01,27-Oct-01
55,KGZ,7,7,7,7,7,7,7,7,7,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00,27-Oct-00,25-Jan-01,30-Apr-01,12-Jul-01,27-Oct-01
56,LBN,5,5,5,5,5,5,5,5,5,5,5,6,6,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00,27-Oct-00,25-Jan-01,30-Apr-01,12-Jul-01,27-Oct-01
57,LSO,4,5,5,5,5,6,6,6,6,6,6,6,6,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00,27-Oct-00,25-Jan-01,30-Apr-01,12-Jul-01,27-Oct-01
58,LBR,7,7,7,7,7,7,7,7,7,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00,27-Oct-00,25-Jan-01,30-Apr-01,12-Jul-01,27-Oct-01
59,LBY,7,7,7,7,7,7,7,7,7,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00,27-Oct-00,25-Jan-01,30-Apr-01,12-Jul-01,27-Oct-01
60,MDG,7,7,7,7,7,7,7,7,7,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00,27-Oct-00,25-Jan-01,30-Apr-01,12-Jul-01,27-Oct-01
61,MWI,7,7,7,7,7,7,7,7,7,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00,27-Oct-00,25-Jan-01,30-Apr-01,12-Jul-01,27-Oct-01
62,MYS,2,3,3,3,3,2,2,2,2,2,2,2,2,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00,27-Oct-00,25-Jan-01,30-Apr-01,12-Jul-01,27-Oct-01
63,MDV,5,5,5,5,5,5,5,5,5,5,5,5,5,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00,27-Oct-00,25-Jan-01,30-Apr-01,12-Jul-01,27-Oct-01
64,MLI,7,7,7,7,7,7,7,7,7,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00,27-Oct-00,25-Jan-01,30-Apr-01,12-Jul-01,27-Oct-01
65,MRT,7,7,7,7,7,7,7,7,7,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00,27-Oct-00,25-Jan-01,30-Apr-01,12-Jul-01,27-Oct-01
66,MUS,2,2,2,2,3,3,3,3,3,3,3,3,3,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00,27-Oct-00,25-Jan-01,30-Apr-01,12-Jul-01,27-Oct-01
67,MEX,4,4,4,4,4,4,3,3,3,3,3,3,3,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00,27-Oct-00,25-Jan-01,30-Apr-01,12-Jul-01,27-Oct-01
68,MDA,7,7,7,7,7,7,7,7,7,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00,27-Oct-00,25-Jan-01,30-Apr-01,12-Jul-01,27-Oct-01
69,MNG,7,7,7,7,7,7,7,7,7,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00,27-Oct-00,25-Jan-01,30-Apr-01,12-Jul-01,27-Oct-01
70,MAR,4,4,4,4,4,4,4,4,4,4,4,4,4,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00,27-Oct-00,25-Jan-01,30-Apr-01,12-Jul-01,27-Oct-01
71,MOZ,7,7,7,7,7,7,7,7,7,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00,27-Oct-00,25-Jan-01,30-Apr-01,12-Jul-01,27-Oct-01
72,MMR,7,7,7,7,7,7,7,7,7,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00,27-Oct-00,25-Jan-01,30-Apr-01,12-Jul-01,27-Oct-01
73,NPL,6,6,6,6,6,6,6,6,6,6,6,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00,27-Oct-00,25-Jan-01,30-Apr-01,12-Jul-01,27-Oct-01
74,NIC,7,7,7,7,7,7,7,7,7,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00,27-Oct-00,25-Jan-01,30-Apr-01,12-Jul-01,27-Oct-01
