,ISO,dt_00,dt_01,dt_02,dt_03,evaldt_00,evaldt_01,evaldt_02,evaldt_03
162,GIN,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
163,GNB,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
164,GUY,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
165,HND,6,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
166,HKG,2,2,2,2,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
167,IND,3,3,3,3,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
168,IDN,6,6,6,6,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
169,IRN,6,6,6,6,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
170,IRQ,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
171,JAM,5,5,5,5,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
172,JOR,5,5,6,6,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
173,KAZ,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
174,KEN,6,6,6,6,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
175,KWT,3,3,3,3,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
176,KGZ,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
177,LBN,5,5,5,5,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
178,LSO,5,5,5,5,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
179,LBR,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
180,LBY,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
181,MDG,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
182,MWI,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
183,MYS,3,3,3,3,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
184,MDV,5,5,5,5,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
185,MLI,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
186,MRT,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
187,MUS,2,2,2,3,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
188,MEX,4,4,4,4,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
189,MDA,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
190,MNG,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
191,MAR,4,4,4,4,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
192,MOZ,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
193,MMR,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
194,NPL,6,6,6,6,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
195,NIC,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
196,NER,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
197,NGA,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
198,MKD,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
199,OMN,3,3,4,4,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
200,PAK,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
201,PAN,4,4,4,4,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
202,PNG,5,5,5,5,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
203,PRY,5,5,5,5,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
204,PER,6,5,5,5,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
205,PHL,3,3,3,3,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
206,QAT,4,4,4,4,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
207,ROU,6,6,6,6,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
208,RUS,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
209,RWA,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
210,SAU,3,3,3,3,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
211,SEN,6,6,6,6,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
212,SRB,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
213,SGP,0,0,0,0,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
214,SOM,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
215,ZAF,3,3,3,3,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
216,LKA,5,5,5,5,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
217,SDN,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
218,SYR,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
219,TWN,1,1,1,1,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
220,TJK,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
221,TZA,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
222,THA,4,4,4,4,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
223,TGO,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
224,TTO,3,3,3,3,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
225,TUN,3,3,3,3,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
226,TUR,5,5,5,5,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
227,TKM,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
228,UGA,6,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
229,UKR,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
230,ARE,2,2,2,2,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
231,URY,4,4,4,4,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
232,UZB,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
233,VEN,5,5,5,5,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
234,VNM,6,6,6,6,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
235,YEM,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
236,ZMB,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
237,ZWE,6,6,6,6,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
238,ALB,7,7,7,7,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
239,DZA,6,6,6,6,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
240,AGO,7,7,7,7,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
241,ATG,7,7,7,7,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
242,ARG,5,5,5,5,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
243,ARM,7,7,7,7,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
244,AZE,7,7,7,7,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
245,BHS,3,3,3,3,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
246,BHR,3,3,3,3,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
247,BGD,5,5,5,5,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
248,BLR,7,7,7,7,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
249,BEN,6,6,6,6,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
250,BOL,6,6,6,6,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
251,BIH,7,7,7,7,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
252,BWA,2,2,2,2,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
253,BRA,6,6,6,6,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
254,BGR,6,6,6,6,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
255,BFA,7,7,7,7,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
256,CPV,6,6,6,6,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
