,input_option,history_len,archi,iter_no,loss,accuracy,mean squared error
53,ev_ex_20_1_5_0_rnn__36,36,rnn,0,0.09810774028301239,0.982769250869751,0.011360187083482742
54,ev_ex_20_1_5_0_lstm__36,36,lstm,0,0.09622354060411453,0.982769250869751,0.011346552520990372
55,ev_ex_20_1_5_0_gru__36,36,gru,0,0.09631077200174332,0.982769250869751,0.011323869228363037
56,ev_nm_5_2_10_1_rnn__36,36,rnn,0,0.11417550593614578,0.9784615635871887,0.013978343456983566
57,ev_nm_5_2_10_1_lstm__36,36,lstm,0,0.11712472885847092,0.9784615635871887,0.014099638909101486
58,ev_nm_5_2_10_1_gru__36,36,gru,0,0.11736172437667847,0.9784615635871887,0.014110001735389233
59,ev_nm_20_2_5_0_rnn__36,36,rnn,0,0.13417616486549377,0.9747692346572876,0.016505300998687744
60,ev_nm_20_2_5_0_lstm__36,36,lstm,0,0.1355653703212738,0.9747692346572876,0.016498418524861336
61,ev_nm_20_2_5_0_gru__36,36,gru,0,0.13464251160621643,0.9747692346572876,0.016477471217513084
62,ev_nm_15_1_5_1_rnn__36,36,rnn,0,0.14886321127414703,0.9716923236846924,0.018513210117816925
63,ev_nm_15_1_5_1_lstm__36,36,lstm,0,0.14392849802970886,0.9716923236846924,0.01841163821518421
64,ev_nm_15_1_5_1_gru__36,36,gru,0,0.1496584713459015,0.9716923236846924,0.01852596178650856
65,ev_ex_15_1_5_0_rnn__36,36,rnn,0,0.13756518065929413,0.9729230999946594,0.01761927828192711
66,ev_ex_15_1_5_0_lstm__36,36,lstm,0,0.13798125088214874,0.9729230999946594,0.017607307061553
67,ev_ex_15_1_5_0_gru__36,36,gru,0,0.1408959925174713,0.9729230999946594,0.01767156459391117
68,BaseLine,36,,1,0.0,0.9729230999946594,0.06584615260362625
69,grades_only,36,gru,1,0.1386232227087021,0.9729230999946594,0.017638636752963066
70,ev_ex_15_1_10_1_rnn__36,36,rnn,1,0.11216524243354797,0.9790769219398499,0.013730640523135662
71,ev_ex_15_1_10_1_lstm__36,36,lstm,1,0.11642654240131378,0.9790769219398499,0.013739817775785923
72,ev_ex_15_1_10_1_gru__36,36,gru,1,0.1131797805428505,0.9790769219398499,0.01378688309341669
73,ev_nm_5_1_10_0_rnn__36,36,rnn,1,0.12171247601509094,0.9772307872772217,0.014933754689991474
74,ev_nm_5_1_10_0_lstm__36,36,lstm,1,0.12217101454734802,0.9772307872772217,0.014885833486914635
75,ev_nm_5_1_10_0_gru__36,36,gru,1,0.12292694300413132,0.9772307872772217,0.01491030678153038
76,ev_nm_15_2_10_1_rnn__36,36,rnn,1,0.12997490167617798,0.9753845930099487,0.016180824488401413
77,ev_nm_15_2_10_1_lstm__36,36,lstm,1,0.13092277944087982,0.9753845930099487,0.016131239011883736
78,ev_nm_15_2_10_1_gru__36,36,gru,1,0.1319788098335266,0.9753845930099487,0.016171030700206757
79,ev_nm_5_1_5_0_rnn__36,36,rnn,1,0.11197361350059509,0.979692280292511,0.013338659889996052
80,ev_nm_5_1_5_0_lstm__36,36,lstm,1,0.11126979440450668,0.979692280292511,0.013284767977893353
81,ev_nm_5_1_5_0_gru__36,36,gru,1,0.11112909764051437,0.979692280292511,0.013277951627969742
82,ev_nm_10_1_5_1_rnn__36,36,rnn,1,0.12166944891214371,0.9772307872772217,0.014852022752165794
83,ev_nm_10_1_5_1_lstm__36,36,lstm,1,0.12347342818975449,0.9772307872772217,0.014907545410096645
84,ev_nm_10_1_5_1_gru__36,36,gru,1,0.12217675149440765,0.9772307872772217,0.014921166002750397
85,BaseLine,36,,2,0.0,0.9741538166999817,0.060923077166080475
86,grades_only,36,gru,2,0.13262829184532166,0.9741538166999817,0.0168340802192688
87,ev_nm_0_1_5_0_rnn__36,36,rnn,2,0.1115422248840332,0.979692280292511,0.013315007090568542
88,ev_nm_0_1_5_0_lstm__36,36,lstm,2,0.11240562051534653,0.979692280292511,0.013312237337231636
89,ev_nm_0_1_5_0_gru__36,36,gru,2,0.11001557111740112,0.979692280292511,0.01328602246940136
90,ev_nm_15_2_10_0_rnn__36,36,rnn,2,0.12533685564994812,0.9766153693199158,0.015297828242182732
91,ev_nm_15_2_10_0_lstm__36,36,lstm,2,0.12547551095485687,0.9766153693199158,0.01530682947486639
92,ev_nm_15_2_10_0_gru__36,36,gru,2,0.12386453151702881,0.9766153693199158,0.015284378081560135
93,ev_nm_10_1_5_0_rnn__36,36,rnn,2,0.11876131594181061,0.9778461456298828,0.01456979289650917
94,ev_nm_10_1_5_0_lstm__36,36,lstm,2,0.11778179556131363,0.9778461456298828,0.014531835913658142
95,ev_nm_10_1_5_0_gru__36,36,gru,2,0.11519768834114075,0.9778461456298828,0.014453109353780746
96,ev_ex_5_1_5_1_rnn__36,36,rnn,2,0.15069152414798737,0.9716923236846924,0.018526289612054825
97,ev_ex_5_1_5_1_lstm__36,36,lstm,2,0.14774073660373688,0.9716923236846924,0.018480781465768814
98,ev_ex_5_1_5_1_gru__36,36,gru,2,0.14898817241191864,0.9716923236846924,0.018496572971343994
99,ev_nm_30_2_5_1_rnn__36,36,rnn,2,0.1251690834760666,0.9772307872772217,0.014952619560062885
100,ev_nm_30_2_5_1_lstm__36,36,lstm,2,0.1262909173965454,0.9772307872772217,0.014957910403609276
101,ev_nm_30_2_5_1_gru__36,36,gru,2,0.12330447137355804,0.9772307872772217,0.014959471300244331
102,BaseLine,12,,0,0.0,0.9707467555999756,0.08468051999807358
103,grades_only,12,gru,0,0.14566969871520996,0.9707467555999756,0.01899263635277748
104,ev_nm_10_1_10_0_rnn__12,12,rnn,0,0.14626914262771606,0.9711316227912903,0.018769819289445877
105,ev_nm_10_1_10_0_lstm__12,12,lstm,0,0.14760176837444305,0.9711316227912903,0.01877482794225216
106,ev_nm_10_1_10_0_gru__12,12,gru,0,0.1468392163515091,0.9711316227912903,0.018760552629828453
107,ev_ex_30_2_10_0_rnn__12,12,rnn,0,0.14476199448108673,0.9722864031791687,0.018182959407567978
108,ev_ex_30_2_10_0_lstm__12,12,lstm,0,0.14064276218414307,0.9722864031791687,0.018037155270576477
109,ev_ex_30_2_10_0_gru__12,12,gru,0,0.14038680493831635,0.9722864031791687,0.018053634092211723
110,ev_ex_15_1_10_1_rnn__12,12,rnn,0,0.12192927300930023,0.9765204191207886,0.015326356515288353
111,ev_ex_15_1_10_1_lstm__12,12,lstm,0,0.12350917607545853,0.9765204191207886,0.015345735475420952
112,ev_ex_15_1_10_1_gru__12,12,gru,0,0.12144599109888077,0.9765204191207886,0.015298089943826199
113,ev_nm_5_2_10_1_rnn__12,12,rnn,0,0.13765540719032288,0.9742109179496765,0.017073309049010277
114,ev_nm_5_2_10_1_lstm__12,12,lstm,0,0.13269534707069397,0.9742109179496765,0.016824113205075264
115,ev_nm_5_2_10_1_gru__12,12,gru,0,0.1347322165966034,0.9742109179496765,0.016919538378715515
116,ev_nm_20_2_5_1_rnn__12,12,rnn,0,0.13897445797920227,0.9742109179496765,0.01705368049442768
117,ev_nm_20_2_5_1_lstm__12,12,lstm,0,0.1331453025341034,0.9742109179496765,0.01682366244494915
118,ev_nm_20_2_5_1_gru__12,12,gru,0,0.13264112174510956,0.9742109179496765,0.016809998080134392
119,BaseLine,12,,1,0.0,0.9742109179496765,0.06158583611249924
120,grades_only,12,gru,1,0.13255025446414948,0.9742109179496765,0.016765519976615906
121,ev_nm_30_2_10_0_rnn__12,12,rnn,1,0.1382950395345688,0.9734411239624023,0.017314741387963295
122,ev_nm_30_2_10_0_lstm__12,12,lstm,1,0.13687804341316223,0.9734411239624023,0.017294183373451233
123,ev_nm_30_2_10_0_gru__12,12,gru,1,0.13613617420196533,0.9734411239624023,0.01727065071463585
124,ev_ex_5_1_5_1_rnn__12,12,rnn,1,0.15676552057266235,0.9692071080207825,0.020043546333909035
125,ev_ex_5_1_5_1_lstm__12,12,lstm,1,0.1551678627729416,0.9692071080207825,0.020011266693472862
126,ev_ex_5_1_5_1_gru__12,12,gru,1,0.1555522233247757,0.9692071080207825,0.020010698586702347
127,ev_nm_5_1_5_1_rnn__12,12,rnn,1,0.1476580649614334,0.9707467555999756,0.019033782184123993
128,ev_nm_5_1_5_1_lstm__12,12,lstm,1,0.14848901331424713,0.9707467555999756,0.01901879534125328
129,ev_nm_5_1_5_1_gru__12,12,gru,1,0.1488742083311081,0.9707467555999756,0.019050395116209984
130,ev_ex_15_1_10_0_rnn__12,12,rnn,1,0.1287713348865509,0.9753656387329102,0.016074711456894875
131,ev_ex_15_1_10_0_lstm__12,12,lstm,1,0.12911456823349,0.9753656387329102,0.01608777977526188
132,ev_ex_15_1_10_0_gru__12,12,gru,1,0.1271393597126007,0.9753656387329102,0.01604711078107357
