,input_option,history_len,archi,iter_no,loss,accuracy,mean squared error
124,ev_ex_5_1_10_0_gru__36,36,gru,0,0.12720142304897308,0.9753845930099487,0.016044145449995995
125,ev_ex_20_2_5_0_rnn__36,36,rnn,0,0.12356148660182953,0.9753845930099487,0.01527352910488844
126,ev_ex_20_2_5_0_lstm__36,36,lstm,0,0.11788906902074814,0.9778461456298828,0.014495723880827427
127,ev_ex_20_2_5_0_gru__36,36,gru,0,0.12048543244600296,0.9778461456298828,0.014541815035045147
128,BaseLine,36,,1,0.0,0.9741538166999817,0.05907692387700081
129,grades_only,36,rnn,1,0.13401255011558533,0.9741538166999817,0.016857942566275597
130,ev_ex_5_1_5_0_rnn__36,36,rnn,1,0.1426835060119629,0.9716923236846924,0.018399812281131744
131,ev_ex_5_1_5_0_lstm__36,36,lstm,1,0.14802759885787964,0.9716923236846924,0.018468454480171204
132,ev_ex_5_1_5_0_gru__36,36,gru,1,0.144322469830513,0.9716923236846924,0.018414180725812912
133,ev_ex_0_2_10_0_rnn__36,36,rnn,1,0.13218821585178375,0.9753845930099487,0.016213010996580124
134,ev_ex_0_2_10_0_lstm__36,36,lstm,1,0.13539107143878937,0.9753845930099487,0.016200220212340355
135,ev_ex_0_2_10_0_gru__36,36,gru,1,0.130552276968956,0.9753845930099487,0.016083266586065292
136,ev_nm_0_1_5_1_rnn__36,36,rnn,1,0.10641005635261536,0.9815384745597839,0.012230636551976204
137,ev_nm_0_1_5_1_lstm__36,36,lstm,1,0.10536377876996994,0.9815384745597839,0.01218892727047205
138,ev_nm_0_1_5_1_gru__36,36,gru,1,0.10631758719682693,0.9815384745597839,0.012240502052009106
139,ev_ex_15_2_10_0_rnn__36,36,rnn,1,0.14216487109661102,0.9723076820373535,0.018007108941674232
140,ev_ex_15_2_10_0_lstm__36,36,lstm,1,0.14287906885147095,0.9723076820373535,0.018004821613430977
141,ev_ex_15_2_10_0_gru__36,36,gru,1,0.14143502712249756,0.9723076820373535,0.018009912222623825
142,ev_ex_10_1_5_0_rnn__36,36,rnn,1,0.11822421848773956,0.9778461456298828,0.014476707205176353
143,ev_ex_10_1_5_0_lstm__36,36,lstm,1,0.12254571169614792,0.9778461456298828,0.014601868577301502
144,ev_ex_10_1_5_0_gru__36,36,gru,1,0.12023745477199554,0.9778461456298828,0.014494465664029121
145,ev_ex_5_2_10_1_rnn__36,36,rnn,1,0.12489128112792969,0.9766153693199158,0.01528051495552063
146,ev_ex_5_2_10_1_lstm__36,36,lstm,1,0.12545180320739746,0.9766153693199158,0.015306049026548862
147,ev_ex_5_2_10_1_gru__36,36,gru,1,0.12429005652666092,0.9766153693199158,0.015275070443749428
148,ev_ex_20_1_10_1_rnn__36,36,rnn,1,0.10964950919151306,0.9803076982498169,0.013065545819699764
149,ev_ex_20_1_10_1_lstm__36,36,lstm,1,0.10938722640275955,0.9803076982498169,0.012888725847005844
150,ev_ex_20_1_10_1_gru__36,36,gru,1,0.1087174043059349,0.9803076982498169,0.012904533185064793
151,ev_nm_20_2_5_1_rnn__36,36,rnn,1,0.11727681756019592,0.9790769219398499,0.01379900798201561
152,ev_nm_20_2_5_1_lstm__36,36,lstm,1,0.11377093940973282,0.9790769219398499,0.013619408011436462
153,ev_nm_20_2_5_1_gru__36,36,gru,1,0.11740138381719589,0.9790769219398499,0.013800110667943954
